Hospital Name,Address,Latitude,Longitude
Escorts Heart Institute & Research Center,"Okhla Road, New Delhi-110 025",28.5606267,77.2737176
Jaipur Golden Hospital,"2, Institutional Area, Sec.3, Rohini, New Delhi-110085",28.697727,77.1093369
Moolchand Khairati Ram Hospital & Ayurvedic Research Institute,"Lajpat Nagar - III, New Delhi-24",28.56458454,77.24095578
R.G. Stone Urology & Laparoscopy Hospital (A unit of R.G. Scientific Enterprises Ltd.),"F-12, East of Kailash, New Delhi- 110065",13.0240842,80.227524
Indraprastha Apollo Hospital,Mathura Road Sarita Vihar New Delhi-110076,28.5413093,77.2832182
Max Smart Super Speciality Hospital (A Unit of Gujarmal Modi Hospital & Research Centre for Medical Sciences),"Mandir Marg, Press Enclave Road, Saket, New Delhi - 110017",28.52795132,77.21497449
Max Super Specialty Hospital (A Unit of Max Healthcare Institute Limited),"1, Press Enclave Road (West Block), Saket, New Delhi, PIN-110017",28.527549,77.2119946
Flt. Lt. Rajan Dhall Charitable Trust,"Sector-B, Pocket-1, Aruna Asaf Ali Marg, Vasant Kunj, New Delhi-110070",28.5194391,77.1604048
Shroff Eye Centre,"A-9, Kailash Colony, New Delhi-110048",28.5541822,77.242973
Dharamshila Rahat Medical Center (A Unit of Dharamshila Cancer Foundation & Research Center),"Service Center No. 11, Pocket-11A, Near New Ashok Nagar Police Station, Vasundhara Enclave, Delhi-110096",28.6026628,77.3142
Sri Balaji Action Medical Institute (A unit of Munni Lal Mange Ram Charitable Trust),"A-4, Pashchim Vihar, New Delhi-110063",28.679503,77.0896819
Batra Hospital and Medical Research Centre,"1, Tughlakabad Institutional Area, Mehrauli Badarpur Road, New Delhi - 110062",28.5123026,77.2447423
Max Multi-Specialty Centre (A Unit of Max Healthcare Institute Limited),"N-110, Panchsheel Park, New Delhi-110017",28.5415056,77.216085
Sitaram Bhartia Institute of Science & Reasearch,"B-16, Kutub Institutional Area, New Delhi-110016",28.5378442,77.184667
Eye 7 Hospitals Pvt. Limited,"34, Lajpat Nagar IV, Main Ring Road, New Delhi-110024",28.5651793,77.2488957
Venkateshwar Hospital,"Sector-18A, Dwarka, New Delhi - 110075",28.5887118,77.0375561
Indian Spinal Injuries Centre,"Sector-C, Vasant Kunj, New Delhi-110070",28.5331416,77.142131
"Max Super Speciality Hospital, (A unit of Balaji Medical and Diagnostic Research Centre)","108A, Indraprastha Extension, Patparganj, New Delhi-110092",28.6332435,77.3024613
Fortis Hospital,"Block-A, Shalimar Bagh, New Delhi-110088",28.7174539,77.1560658
Dr. B. L. Kapoor Memorial Hospital (A Unit of Lahore Hospital Society),"Pusa Road, New Delhi-110005",28.6287998,77.2347996
Centre For Sight,"B - 5/24, Safdarjung Enclave, New Delhi-110029",28.5600257,77.191028
Dharamshila Narayana Superspeciality Hospital,"Dharamshila marg, Vasundhara Enclave, Delhi 110096",28.6026423,77.3143141
Ayushman Hospital and Health Services,"Sector-10, Dwarka, New Delhi-110075",28.5849492,77.0582844
Kailash Deepak Hospital (A unit of Deepak Gupta Memorial Foundation),"5 & 6 Institutional Area, Vikas Marg, Extension-II, Delhi-110092",28.6449601,77.3011881
Rajiv Gandhi Cancer Institute (A unit of Indraprastha Cancer Society & Research Centre),"D-18, Sector 5, Rohini, New Delhi, PIN-110085",28.7163446,77.1115693
Max Super Specialty Hospital (A Unit of Devki Devi Foundation),"2, Press Enclave Road (East Block), Saket, New Delhi - 110017",28.5276057,77.2119684
Sir Ganga Ram Hospital,"Rajinder Nagar, New Delhi - 110060",28.6384582,77.1895559
Pushpawati Singhania Hospital & Research Institute (PSRI),"Press Enclave Marg, Sheik Sarai-II, New Delhi-110017",28.533387,77.2253254
Metro Hospital & Cancer Institute,"21, Community Centre, Preet Vihar, Delhi - 110 092.",28.63856362,77.29482348
Ankur Maitrika Hospital (OPC) Pvt. Ltd.,"Ward No. 55, Channi By Pass, Near Jodhamal Public School, Jammu-180012",32.6828797,74.9041698
Shri Mata Vaishno Devi Narayana Superspeciality Hospital,"Kakryal Katra, Reasi, Jammu and Kashmir-182320",32.9300193,74.9526324
Bee Enn General Hospital,"Talab Tilo Road, Jammu (Union Territory of Jammu & Kashmir)",32.7299468,74.8412326
Acharya Shri Chander College of Medical Sciences and Hospital,"P.B.No.5, N.H. Bye Pass, Sirdhar Jammu-180006 (Union Territory of Jammu & Kashmir",32.6844674,74.9057454
Plus Medicare Hospital Pvt. Ltd. (Paras Health),"Durganag, Dalgate Bridge, Munshi Bagh, Srinagar, J&K-190001",34.0751642,74.8318743
Chand Eye Clinic,74 A/D Gandhi Nagar Jammu,32.7117033,74.8627386
AMRI Hospitals Limited,"Plot No. 1 (Besides Satya Sai Enclave), Khandagiri, Bhubaneswar Odisha-751030",20.2603222,85.7776458
Apollo Hospital,"Plot No. 251, Sanik School Road, Bhubaneswar, PIN-751005 (Odisha)",20.3123637,85.8312717
Sparsh Hospitals & Critical Care (Pvt) Ltd.,"Plot no. A/407, Shaheed Nagar, Bhubaneswar Odisha -751007",12.9267337,77.521328
Medanta Abdur Razzaque Ansari Memorial Weavers Hospital,"PO Irba, PS Ormanjhi, Distt Ranchi, Jharkhand-835217",23.4507271,85.4372299
Brahmananda Narayana Multispecialty Hospital,"NH-33, Tamolia Village, BNH More, Near Pardih Chowk, Jamshedpur-831012",22.8526423,86.2034712
Santevita Hospital,"1 HB Road, Near Firayalal Chowk, Ranchi-834001 (Jharkhand)",23.3706364,85.3264402
Hayat Hospital (A Unit of Hayat Hospital Pvt Ltd),"Lalganesh, Guwahati, Assam-781034",26.13872,91.769685
Narayan Super Speciality Hospital (A Unit of Narayan Harudayalaya Ltd),"Near Tula Ram Bafna Civil Hospital Campus, Amingaon, Guwahati, Assam-781031",26.2075602,91.6776917
Silvercrest Multispeciality Hospital (A unit of Dr. Amiya Healthcare Pvt Ltd),"Moidomia, Borbocha, North Lakhimpur, Assam-787302",27.2607148,94.1235198
"GNRC Hospital, Dispur (A unit of GNRC Ltd)","GNRC Complex, Dispur, Guwahati, Assam- 781006",26.1390717,91.7946214
Apollo Hospital,"Lotus Tower, Christian Basti, G. S. Road, Guwahati-781005 (Assam)",26.153948,91.7808855
Srimanta Sankardeva Hospital & Research Institute,"Mancotta Road, Dibrugarh, Assam-786001",27.4729995,94.91138946
Apeksha Hospital,"Jalan Nagar, AMC Road, Dibrugarh, Assam-786005",27.4918784,94.9329305
Shija Hospital and Research Institute,"Health City, Lanjol, Imphal West, MANIPUR-795004",24.8117516,93.9113634
Apollo Speciality Hospital,"Ayanambakkam, Chennai, Tamilnadu - 600095",13.0707104,80.1506203
Medical Research Foundation,"18 College Road (New No. 41), Chennai, Tamilnadu-600006",13.0672423,80.2503024
Apollo Main Hospital,"Greams Road, Chennai, Tamil Nadu, PIN-600006",13.062923,80.251978
Apollo Speciality Hospital,"Madurai, Tamil Nadu, PIN-625706",9.9281821,78.1491278
DR. Rela Institute & Medical Centre,"No. 7, CLC Works Road, Chromepet, Chennai, Tamil Nadu - 600044",12.9549235,80.1388459
Apollo Specialty Hospital (Cancer Hospital),"No. 320, Anna Salai, Nandanam, Chennai, Tamil Nadu, Pin-600035",13.0337165,80.2451388
M/s Fortis Hospitals Ltd. (Fortis Hospital Bannerghatta Road),"154/9, Bilekahalli Village, Bannerghatta Road, Begur, Hubli, Bengaluru, Karnataka -560076.",12.8948217,77.5986197
M. S. Ramaiya Memorial Hospital,"M.S.R. Nagar, MSRIT Post, New BEL Road, Bangalore-560054, Karnataka",13.0283322,77.5697841
Aster RV Hospital,"CA-37, 24TH Main ITI Layout, I Phase, JP Nagar, Bengaluru, Karnataka-560078",12.9108429,77.5851284
Aster CMI Hospital,"No.43/2, Sahakara Nagar, Hebbal, Bengaluru, Karnataka-560092",13.054497,77.5915659
Manipal Hospitals Vijayawada ( A unit of Manipal Hospitals (Jaipur) Private Limited),"Near Varadhi, Vijayawada, Tadepalli, Guntur District, Andhra Pradesh - 522501",16.4854582,80.6204584
Apollo Health City,"Chinagadhili, Visakhapatnam, Andhra Pradesh-530002",17.7121136,83.3121281
Heema Hospital,"Bank Tinali, Itanagar, Arunachal Pradesh, PIN-791111",27.100861,93.6280042
MMI Narayana Hospital (A Unit of M/s Narayana Hrudayalaya Ltd.),"New Dhamtari Road, Lalpur, Raipur, Chhattisgarh, PIN-490001",21.2131653,81.6579148
SSB Heart and Multispecialty Hospital,"Plot No, 69, Mathura Road, Near Neelam Flyover, Sector 20 A, Faridabad, Haryana 121001",28.3905861,77.3126117
"Yatharth Super Speciality Hospital Faridabad, (A Unit of Pristine Infracon Private Limited)","RPS City, Sector 88, Faridabad-121002",28.4187513,77.3561267
Narayana Superspecialty Hospital,"Plot 3201, Block - V, DLF Phase - III, Nathupur, Sector-24, Gurugram, Haryana-122002",28.4978455,77.101681
Fortis Memorial Research Institute (A Unit of Fortis Hospitals Limited),"Sector-44, Gurugram-122002",28.4582561,77.07028
Metro Heart Institute With Multi Speciality (A unit of Metro Speciality Hospitals Pvt. Ltd.),"Sector -16 A, Faridabad-12202 (Haryana)",28.6385409,77.2948321
QRG Medicare Limited,"Plot No 1, Sector - 16, Faridabad-121002",28.408153,77.3185833
Artemis Hospital (A unit of Medicare Services Limited),"Sector-51, Gurugram, Haryana-122001",28.4317417,77.072291
Max Hospital (A unit of ALPS Hospital Limited),"B-Block, Sushant Lok- Phase-1, Gurugram-122001 HARYANA",28.474985,77.075675
"Paras Healthcare Pvt. Ltd. (Paras Hospitals, Panchkula)","Plot No. H-2, HSIIDC, Technology Park, Sector-22, Near Nada Sahib Gurudwara, Panchkula, Haryana -134109",30.6930752,76.8834028
Accord Superspecialty Hospital (A Unit of SCL Health Care Pvt Ltd),"Sector-86, Greater Faridabad 121002",28.4048558,77.3391203
Amrita Institute of Medical Science and Research Centre,"Mata Amritanandamayi Marg, Sector-88, Faridabad-121002 (Haryana)",28.4265768,77.3570366
Sarvodaya Hospital & Research Centre,"YMCA Road, Sector-8, Faridabad, PIN-121006 (Haryana)",28.36765493,77.33653959
Fortis Escorts Hospital,"Neelam Bata Road, Faridabad-121001",28.391214,77.3068975
Medanta - The Medicity (A Unit of M/s Global Health Pvt. Ltd.),"Sector -38, Gurugram, Haryana-122001",28.4389626,77.040818
Umkal Hospital & M.P. Heart Research Centre,"A-520, Sushant Lok-I, Gurgaon-122002",28.4715216,77.0733067
Asian Institute of Medical Sciences(A unit of M/s Blue Sapphire Healthcare Pvt. Ltd.),"Sector-21A, Faridabad, Haryana",28.4260624,77.2996388
CIMS Hospital Private Limited,"Near Shukan Mal, Off. Science City Road, Sola, Ahmedabad-380060",23.0702256,72.516908
Apollo Hospital International Limited,"Plot No. - 1A, Bhat GIDC Estate, Gandhinagar-382428 (Gujrat)",23.1095502,72.6263885
Shalby Multispecialty Hospital (A unit of Shalby Limited),"S G Highway, Ahmedabad (Gujrat) 380015",23.0190291,72.5066568
SAL Hospital,"Opposite Doordarshan, Ahmedabad (Gujarat), Drive in Road, PIN-380054",23.0495241,72.5242733
M/s Divyaram Medical and Research Institute Private Limited,"East Fort Guruvayoor Road, Near Pipe Line Junction, Thrissur, Kerala-680005",10.522059,76.2236502
Apollo Adlux Hospital,"Adlux junction, Karukutty, Angamali, Kerala -683576",10.2396817,76.372493
Ananthapuri Hospitals and Research Institute,"NH bypass 66, Airport Rd, Near Courtyard Garden, Chackai, Thiruvananthapuram, Kerala-695024",8.4865432,76.927335
Bishop Benziger Hospital,"Beach Road, Kollam, Kerala-691577",8.8813858,76.5930369
Rajagiri Hospital,"Chunangamvely Aluva, Enarkulam, Kerala, 683112",10.0876205,76.388183
Fortis Escorts Hospital,"Jawahar Lal Nehru Marg, Malviya Nagar, Jaipur, Rajasthan-302017",26.8462747,75.8034574
Narayana Multispecialty Hospital (A unit of Narayana Hrudayalaya Ltd.),"Sector-28, Pratap Nagar, Sanganer, Jaipur-302033 (Rajasthan)",26.8009015,75.8383306
Rukmani Birla Hospital (A Unit of The Calcutta Medical Research Institute),"Gopalpura Byepass Road, Near Triveni Flyover, Jaipur, Rajasthan-302018",26.8794531,75.7613592
Sarvodaya Hospital (A Unit of Anshu Hospitals Limited),"Gaur City-2, Noida (West), Gautam Buddha Nagar - 201301 (UP)",28.6223524,77.4226705
ICare Eye Hospital & Post Graduate Institute(A Unit of Ishwar Charitable Trust),"E-3, Sector 26, Noida, Gautam Buddha Nagar(UP)",28.57992829,77.3357684
Regency Hospital,"Khurram Nagar, Ring Road, Lucknow-226022 (UP)",26.8986082,80.9678711
Apollo Hospital (Under the Management of Indraprastha Medical Corporation Limited),"E-2, Sector-26, Noida-201301 (U.P.)",28.5700646,77.3243521
Fortis Hospital (A Unit of RR Life Sciences Pvt. Ltd.),"Plot No. SH-06, Site-IV, Surajpur Industrial Area, Greater Noida -201306",28.5181512,77.5144248
Kailash Hospital & Neuro Institute (A Unit of Kailash Healthcare Limited),"NH-1, Sector-71, Noida, Gautam Budd Nagar - 201309 (U.P.)",31.0675,81.3119444
Yashoda Super Specialty Hospital,"H1, Kaushambi, Near Dabur Chowk Metro Station, Ghaziabad (UP)-201010",28.6453167,77.3285961
Kailash Hospital Limited,"Plot No.23 KP 1, Greater Noida (UP)-201310",28.4703262,77.5051402
Apollomedics Super Speciality Hospitals,"KBC-31, Sector-B, LDA Colony, Kanpur Road, Lucknow - 226012 (UP) ",26.7981787,80.9015457
Agarwal Eye Hospital & Dental Care Center(Only for eye),"A-371, Sector-19, Atta Peer Chowk, Noida U.P.",28.57482578,77.32371652
Max Super Specialty Hospital (A Unit of Crosslay Remedies Limited),"W-3, Sector-1, Vaishali, Ghaziabad -201012",28.634691,77.332993
Kailash Hospital & Heart Institute (A unit of Kailash Healthcare Limited),"H-33, Sector-27, Noida-201301",31.0675,81.3119444
Fortis Hospital (A Unit of Fortis Hospitals Limited),"B-22, Sector-62, Gautam Budh Nagar, Noida-201301 (UP)",28.6187084,77.3725835
MAX Super Speciality Hospital Lucknow (A Unit of Starlit Medical Center Private Limited),"1, Viraj Khand, Gomti Nagar, Lucknow, Uttar Pradesh-226010",26.8500587,81.0241919
Narinder Mohan Hospital,"Mohan Nagar, Ghaziabad",28.6797793,77.3851961
Jaypee Hospital (A Unit of Jaypee Healthcare Limited),"Sector-128, Noida-201301",28.5154379,77.3714472
Grewal Eye Institute Private Limited,"SCO 168-169, Sector - 9C, Madhya Marg, Chandigarh-160009",30.7453144,76.7869245
Apollo Hospitals,Jubilee Hills Hyderabad-500092,17.4313358,78.4322839
AIG Hospitals ( A Unit of Asian Gastroenterology Pvt. Ltd.),"Mind Space, Gachibowli, Hyderabad",17.4433696,78.3663435
Krishna Institute of Medical Sciences Limited,"Minister Road Begumpet, Secunderabad - 500003 (Telangana)",17.4369073,78.4829178
M/s Yashoda Hospital (Venture -I),"H. No. 1-1-156, 157/2, S.P. Road, Secunderabad, Telangana-500003",17.443586,78.4758656
Max Superseciality Hospital,"Malsi Masuri Divergen Road, Dehradun, PIN-248001 (Uttarkhand)",30.373487,78.074375
Krishna Hospital & Research Center,"3-136, Guru Nank Pura, Subhash Nagar, Haldwani, Uttarakhand 263139",29.22889671,79.53221602
BrijLal Hospital & Research Centre Pvt. Ltd.,"Anandi Tower, Nainithal Road, Haldwani, Nainital (Uttrakhand)",29.24201993,79.53553518
Neelkanth Multispecialty Hospital,"Near Shushila Tiwari Hospital, Rampur Road, New I.T.I. Road, Haldwani, PIN-263139",29.2061327,79.5162159
Medica Superspeciality Hospital,"127, E. M. Byepass, Mukundpur, Kolkata, West Bengal - 700099",22.4942277,88.400696
Apollo Multispeciality Hospital,"58, Canal Circular Road, Kolkata-700054",22.5747851,88.401493
"Institute of Neurosciences, Kolkata","185/1, A.J.C. Bose Road, Mallick Bazar, Kolkata-700017",22.546981,88.3619801
AMRI Hospitals - Dhakuria,"4 & 5, CIT Scheme, Block-A, Gariahat, Kolkata-700029",22.512609,88.3676693
Kothari Medical Centre,"Alipore Road, Kolkata-700027",22.5329339,88.3303923
Desun Hospital,"Medical College Road , Siliguri 734004",26.6858206,88.3959532
Neotia Getwell Healthcare Center,"Uttorayan Township, Matigara, Siliguri, West Bengal, PIN-734010",26.725794,88.3935291
M/S Mitras Clinic & Nursing Home,"Hakimpara, Siliguri, W.B.-734001",26.71426485,88.42857809
Belle Vue Clinic,"9, Dr. U N Brahmachari Street, Kolkata-700017 (WB)",22.542625,88.3549725
Fortis Hospital Ltd.,"730, Anandapur, EM Bypass Road, Kolkata - 700107",22.5131868,88.4028181
ASG Eye Hospital,"Pranami Mandir Road, Opp. Kejriwal Stone & Kidney Clinic, Ward-40, Haidar Para, Siliguri, West Bengal - 734001",26.7267461,88.432989
B.M. Birla Heart Research Centre,"1/1, National Library Avenue, Alipore, Kolkata- 700027",22.5328893,88.3282827
Ruby General Hospital,"576, Anandapur, EM Byepass, Kolkata-100107",22.5134681,88.4029682
Thalamus Institute of Medical Sciences Pvt. Limited,"Battalion More, Fulbari, Siliguri, West Bengal-734015",26.6612177,88.4154206
Hope & Heal Cancer Hospital and Research Centre,"Jatiakhali, Fulbari, Siliguri-734015",26.62946145,88.44031123
Woodland Multispeciality Hospital Ltd.,"8/5, Alipore Road, Kolkata - 700027",22.5322078,88.3292736
Medica North Bengal Clinic,"Meghnad Saha Sarani, Pradhan Nagar, Siliguri-734003",26.7303475,88.4154712
Sunrise Nursing Home Pvt. Ltd.,"Udham Singh Sarani, Behind Ghosh Nursery, Opp. LIC Building Sevoke Road, Siliguri - 734 401",26.7271012,88.3952861
Paramount Hospital Pvt. Ltd.,"Mangal Pandey Road, Near Agarasen Bhawan, Siliguri - 734 005",26.7271012,88.3952861
AMRI Hospital,"16 & 17, Sector-III, Salt Lake, Kolkata-700098",22.56836592,88.41164198
Center for Sight (A Unit of New Delhi Center for Sight Ltd.),"A-31, PC Colony, Kankarbagh, Patna-800020",28.6139298,77.2088282
Jayprabha Medanta Superspeciality Hospital (A Unit of M/s Global Health Patliputra Pvt. Ltd.),"Kankarbagh Main Road, Kankarbagh Colony, Patna-800020 (Bihar)",25.5995732,85.1529168
Hi-Tech Emergency Hospital,"Saguna More, Khagaul Road, Patna-801503",25.6209763,85.0407458
Jagdish Memorial Hospital (A Unit of Jagdish Memorial Hospital Pvt. Ltd.),"Lohia Nagar, Kankarbagh, Patna-800020",25.5990106,85.1571194
Asian City Hospital (A Unit of Blue Sapphire Healthcare Private Limited),"Behind P and M Mall, Patliputra Industrial Area, Patna - 800013",25.6340301,85.1063556
M/s Kurji Holy Family Hospital,Kurji Patna,25.6359018,85.1116643
Fortis Hospitals Limited,"Mulund Goregaon Link Road, Bhandup (West) Mumbai-400078",19.1612989,72.9412566
Jaslok Hospital & Research Centre,"15, Dr. G. Deshmukh Marg, Mumbai-400026",18.9715715,72.8099571
BSES MG Hospital,"S V Road, Opp. Railway Station, Andheri (W), Mumbai-400058",19.1386175,72.8451695
Alexis Multi Specialty Hospital Private Ltd.,"Survey No. 232, H. No. 1313, Mankapura Square, Karodi Road, Nagpur-440030 (Maharastra)",21.1857573,79.0795349
Kokilaben Dhirubhai Ambani Hospital & Medical Research Institute (Unit of Mandke Foundation),"Four Bungalows, Andheri West, Mumbai-400053",19.1311225,72.8246837
Lilavati Hospital and Research Centre,"A-791, Bandra Reclamation, Bandra (W), Mumbai-400050",19.0510043,72.8293225
Apollo Hospital Enterprise Limited,"Plot No. 13, Sector-23, Parsik Hill Road, CBD Belapur, Navi Mumbai-400614",19.021761,73.028511
Surya Childrens Medicare Pvt. Ltd.,"S.V. Road, Santa Cruz (West), Mumbai - 400054",19.0855574,72.8378872
Kalyani Hospital,"Near Radha Swami Satsang Bhawan, A B College Road, Pathankot (Punjab) 145001",32.265122,75.679292
Amandeep Hospital,Dalhousie Road Mamoon Pathankot(Punjab),32.276139,75.6948055
BBC Heart Care (Pruthi Hospital),"301, Lajpat Nagar, Jalandhar City, PIN-144001",31.3175625,75.5741687
Joshi Superspeciality And Multispeciality Hospital,"Kapurthala Chowk, Jalandhar (Punjab)",31.3346013,75.5624417
Tagore Hospital & Heart Care Centre,"Banda Bahadur Nagar, Mahavir Marg, Jallandhar",31.33711187,75.56324353
IVY Hospital (A Unit of IVY Health & Life Sciences (P) Ltd.),"SAS Nagar, Sector-71, Mohali, PIN-160071 (Punjab)",30.7069677,76.70810604
Capitol Hospital,"Jalandhar-Pathankot Road (NH-44), Near Reru Chowk, Jalandhar (Punjab)",31.3645623,75.5968843
"Fortis Hospital, Mohali","Sector-62, Phase-VIII,Mohali, Punjab-160062",30.6952395,76.7314121
Max Super Speciality (A Unit of Homitrial Estate Pvt Ltd),"Near Civil Hospital, Phase-VI Mohali, Punjab 140110",30.7276884,76.7062336
Chauhan Multispeciality & Trauma Centre,"Amritsar Pathankot Highway, Kotli, Pathankot (Punjab)",32.23328999,75.55328494
Mohan Dai Oswal Memorial Hospital,"G.T. Road Sherpur Chowk, By-Pass Ludhiana 141009",30.6604908,76.2975805
Kullu Valley Hospital (A Unit of Banga Hospitals Pvt. Ltd.),"Shastri Nagar, Kullu, PIN-175101 (Himachal Pradesh)",31.9427307,77.1089637
Fortis Hospital Kangra,Kangra Dharamshala Road(HP)176001,32.1160198,76.282065
Himachal Heart Institute,"Vill & PO - Gutkar, (NH-21), Tehsil - Balh, Mandi - 175001 (HP)",31.6648197,76.9437829
Shri Harihar Hospital Private Limited,"Bhuntar, Distt. - Kullu, Himachal Pradesh - 175125",31.8952691,77.1499433
