hosp_id,Hosp_name,Cont_person,Cont_no,hosp_add,valid_from,VALID_UPTO,LINK_ADD,LOC_CODE,SCHEME,Rem,ACC_Link_Add,RegValidUptoDt,Hosp_Offer,Hosp_name_H,hosp_add_H
0688,&#2358;&#2381;&#2352;&#2379;&#2347;&#2381;&#2347; &#2310;&#2312; &#2360;&#2375;&#2306;&#2335;&#2352; Shroff Eye Centre,,,"&#2319;-9, &#2325;&#2376;&#2354;&#2366;&#2358; &#2325;&#2377;&#2354;&#2379;&#2344;&#2368;, &#2344;&#2312; &#2342;&#2367;&#2354;&#2381;&#2354;&#2368;-110048 A-9, Kailash Colony, New Delhi-110048
",2023-04-01 00:00:00.000,2026-03-31 00:00:00.000,HospRateList/SOC-Shroff-Eye-April-2022.pdf,1,D,&#2310;&#2351;&#2325;&#2352; &#2331;&#2370;&#2335; &#2346;&#2381;&#2352;&#2350;&#2366;&#2339; &#2346;&#2340;&#2381;&#2352; &#2309;&#2360;&#2368;&#2350;&#2367;&#2340; &#2360;&#2350;&#2351; &#2340;&#2325; &#2357;&#2376;&#2343; &#2361;&#2376; &#2404; Income Tax exemption certificate valid without time limit (Hospital is under CGHS),HospRateList/Room_ent/OO-Shroff-Eye-Centre-Kailash-Colony-2023.pdf,NULL,HospRateList/Hosp_Facility/Facilitation-Shroff-Eye-Centre.pdf,NULL,NULL
0686,&#2325;&#2376;&#2354;&#2366;&#2358; &#2361;&#2377;&#2360;&#2381;&#2346;&#2367;&#2335;&#2354; &#2319;&#2306;&#2337; &#2361;&#2366;&#2352;&#2381;&#2335; &#2311;&#2306;&#2360;&#2381;&#2335;&#2368;&#2335;&#2381;&#2351;&#2370;&#2335; (&#2325;&#2376;&#2354;&#2366;&#2358; &#2361;&#2375;&#2354;&#2381;&#2341;&#2325;&#2375;&#2351;&#2352; &#2354;&#2367;&#2350;&#2367;&#2335;&#2375;&#2337; &#2325;&#2368; &#2319;&#2325; &#2311;&#2325;&#2366;&#2312;) Kailash Hospital & Heart Institute (A unit of Kailash Healthcare Limited),,,"&#2319;&#2330;-33, &#2360;&#2375;&#2325;&#2381;&#2335;&#2352;-27, &#2344;&#2379;&#2319;&#2337;&#2366;-201301 H-33, Sector-27, Noida-201301",2023-03-14 00:00:00.000,2026-03-13 00:00:00.000,HospRateList/SOC-2022-Kailash-Hospital-&-Heart-Institute-Noida.pdf,3,D,&#2310;&#2351;&#2325;&#2352; &#2331;&#2370;&#2335; &#2346;&#2381;&#2352;&#2350;&#2366;&#2339; &#2346;&#2340;&#2381;&#2352; 30.06.2023 &#2340;&#2325; &#2357;&#2376;&#2343; &#2361;&#2376;&#2404; Income tax exemption certificate is valid upto 30.06.2023. (Hospital is under CGHS),HospRateList/Room_ent/OO-Kailash-Hospital-&-Heart-Institute-Noida-2023.pdf,NULL,HospRateList/Hosp_Facility/Contact-Kailash-Hosp-Heart-Instt-Noida.pdf,NULL,NULL
0684,"&#2319;&#2358;&#2367;&#2351;&#2344; &#2347;&#2368;&#2337;&#2375;&#2354;&#2367;&#2360; &#2350;&#2354;&#2381;&#2335;&#2368;&#2360;&#2381;&#2346;&#2376;&#2358;&#2354;&#2367;&#2335;&#2368; &#2361;&#2377;&#2360;&#2381;&#2346;&#2367;&#2335;&#2354; (&#2346;&#2381;&#2352;&#2367;&#2360;&#2381;&#2335;&#2368;&#2344; &#2311;&#2306;&#2347;&#2381;&#2352;&#2366;&#2325;&#2379;&#2344; &#2346;&#2381;&#2352;&#2366;. &#2354;&#2367;. &#2325;&#2368; &#2311;&#2325;&#2366;&#2312;)  
Asian Fidelis Multispeciality Hospital (A Unit of Pristine Infracon Pvt. Ltd.)",,,"&#2310;&#2352;&#2346;&#2368;&#2319;&#2360; &#2360;&#2357;&#2366;&#2344;&#2366; &#2360;&#2367;&#2335;&#2368;, &#2360;&#2376;&#2325;&#2381;&#2335;&#2352;-88, &#2398;&#2352;&#2368;&#2342;&#2366;&#2348;&#2366;&#2342;-121002
   RPS Savana City, Sector-88, Faridabad-121002",2023-03-10 00:00:00.000,2026-03-09 00:00:00.000,HospRateList/SOC-Asian-Fedelis-2021.pdf,2,D,&#2310;&#2351;&#2325;&#2352; &#2331;&#2370;&#2335; &#2346;&#2381;&#2352;&#2350;&#2366;&#2339; &#2346;&#2340;&#2381;&#2352; 30.09.2025 &#2340;&#2325; &#2357;&#2376;&#2343; &#2361;&#2376;&#2404; Income tax exemption certificate is valid upto 30.09.2025.,HospRateList/Room_ent/OO-Asian-Fidelis-2023.pdf,NULL,HospRateList/Hosp_Facility/Contact-Asian-Fidelis.pdf,NULL,NULL
0674,&#2347;&#2381;&#2354;&#2366;&#2311;&#2335; &#2354;&#2375;&#2347;&#2381;&#2335;&#2367;&#2344;&#2375;&#2306;&#2335; &#2352;&#2366;&#2332;&#2344; &#2338;&#2354;&#2381;&#2354; &#2330;&#2375;&#2352;&#2367;&#2335;&#2375;&#2348;&#2354; &#2335;&#2381;&#2352;&#2360;&#2381;&#2335;  Flt. Lt. Rajan Dhall Charitable Trust,,,"&#2360;&#2376;&#2325;&#2381;&#2335;&#2352;-&#2348;&#2368;, &#2346;&#2377;&#2325;&#2375;&#2335; -1, &#2309;&#2352;&#2369;&#2339;&#2366; &#2310;&#2360;&#2347; &#2309;&#2354;&#2368; &#2350;&#2366;&#2352;&#2381;&#2327;, &#2357;&#2360;&#2306;&#2340; &#2325;&#2369;&#2306;&#2332;, &#2344;&#2312; &#2342;&#2367;&#2354;&#2381;&#2354;&#2368;-110070   Sector-B, Pocket-1, Aruna Asaf Ali Marg, Vasant Kunj, New Delhi-110070",2023-01-10 00:00:00.000,2026-01-09 00:00:00.000,HospRateList/SoC-19-20-Flt-Lt-Rajan-Dhall-Charitable-Trust-2023.pdf,1,D,&#2310;&#2351;&#2325;&#2352; &#2331;&#2370;&#2335; &#2346;&#2381;&#2352;&#2350;&#2366;&#2339; &#2346;&#2340;&#2381;&#2352; 31/10/2023 &#2340;&#2325; &#2357;&#2376;&#2343; &#2361;&#2376; &#2404; Income tax exemption certificate is valid upto 31/10/2023.,HospRateList/Room_ent/OO-Flt-Lt-Rajan-Dhall-Charitable-Trust-2023-Copy.pdf,2023-03-31 00:00:00.000,HospRateList/Hosp_Facility/Facility-Flt-Lt-Rajan-Dhall-Charitable-Trust.pdf,NULL,NULL
0678,"&#2346;&#2366;&#2352;&#2360; &#2361;&#2375;&#2354;&#2381;&#2341;&#2325;&#2375;&#2351;&#2352; &#2346;&#2381;&#2352;&#2366;&#2311;&#2357;&#2375;&#2335; &#2354;&#2367;&#2350;&#2367;&#2335;&#2375;&#2337; (&#2346;&#2366;&#2352;&#2360; &#2361;&#2379;&#2360;&#2381;&#2346;&#2367;&#2335;&#2354;&#2381;&#2360;, &#2346;&#2306;&#2330;&#2325;&#2369;&#2354;&#2366;)",,,"&#2346;&#2381;&#2354;&#2377;&#2335; &#2360;&#2306;&#2326;&#2381;&#2351;&#2366; &#2319;&#2330;-2, &#2319;&#2330;&#2319;&#2360;&#2310;&#2312;&#2310;&#2312;&#2337;&#2368;&#2360;&#2368;, &#2335;&#2375;&#2325;&#2381;&#2344;&#2366;&#2354;&#2332;&#2368; &#2346;&#2366;&#2352;&#2381;&#2325;, &#2360;&#2376;&#2325;&#2381;&#2335;&#2352;-22, &#2360;&#2350;&#2368;&#2346; &#2344;&#2366;&#2337;&#2366; &#2360;&#2366;&#2361;&#2367;&#2348; &#2327;&#2369;&#2352;&#2369;&#2342;&#2381;&#2357;&#2366;&#2352;&#2366;, &#2346;&#2306;&#2330;&#2325;&#2369;&#2354;&#2366;, &#2361;&#2352;&#2367;&#2351;&#2366;&#2339;&#2366; -134109   Plot No. H-2, HSIIDC, Technology Park, Sector-22, Near Nada Sahib Gurudwara, Panchkula, Haryana -134109",2022-12-14 00:00:00.000,2025-12-13 00:00:00.000,HospRateList/,2,D,xx,HospRateList/Room_ent/,2025-12-13 00:00:00.000,,NULL,NULL
0679,"&#2346;&#2366;&#2352;&#2360; &#2361;&#2375;&#2354;&#2381;&#2341;&#2325;&#2375;&#2351;&#2352; &#2346;&#2381;&#2352;&#2366;&#2311;&#2357;&#2375;&#2335; &#2354;&#2367;&#2350;&#2367;&#2335;&#2375;&#2337; (&#2346;&#2366;&#2352;&#2360; &#2361;&#2379;&#2360;&#2381;&#2346;&#2367;&#2335;&#2354;&#2381;&#2360;, &#2346;&#2306;&#2330;&#2325;&#2369;&#2354;&#2366;)   Paras Healthcare Pvt. Ltd. (Paras Hospitals, Panchkula)",,,"&#2346;&#2381;&#2354;&#2377;&#2335; &#2360;&#2306;&#2326;&#2381;&#2351;&#2366; &#2319;&#2330;-2, &#2319;&#2330;&#2319;&#2360;&#2310;&#2312;&#2310;&#2312;&#2337;&#2368;&#2360;&#2368;, &#2335;&#2375;&#2325;&#2381;&#2344;&#2366;&#2354;&#2332;&#2368; &#2346;&#2366;&#2352;&#2381;&#2325;, &#2360;&#2376;&#2325;&#2381;&#2335;&#2352;-22, &#2360;&#2350;&#2368;&#2346; &#2344;&#2396;&#2396;&#2366; &#2360;&#2366;&#2361;&#2367;&#2348; &#2327;&#2369;&#2352;&#2369;&#2342;&#2381;&#2357;&#2366;&#2352;&#2366;, &#2346;&#2306;&#2330;&#2325;&#2369;&#2354;&#2366;, &#2361;&#2352;&#2367;&#2351;&#2366;&#2339;&#2366; -134109   Plot No. H-2, HSIIDC, Technology Park, Sector-22, Near Nada Sahib Gurudwara, Panchkula, Haryana -134109",2022-12-14 00:00:00.000,2025-12-13 00:00:00.000,HospRateList/SoC-Paras-Hospital-Panchkula-2021-22.pdf,2,D,&#2310;&#2351;&#2325;&#2352; &#2331;&#2370;&#2335; &#2346;&#2381;&#2352;&#2350;&#2366;&#2339; &#2346;&#2340;&#2381;&#2352; &#2309;&#2360;&#2368;&#2350;&#2367;&#2340; &#2360;&#2350;&#2351; &#2340;&#2325; &#2357;&#2376;&#2343; &#2361;&#2376; &#2404; Income Tax exemption certificate valid without time limit.,HospRateList/Room_ent/OO-Paras-Hospital-Panchkula-2023.pdf,NULL,HospRateList/Hosp_Facility/Contact-Paras-Hospital-Panchkula-2023.pdf,NULL,NULL
0660,&#2327;&#2381;&#2352;&#2375;&#2357;&#2366;&#2354; &#2310;&#2312; &#2311;&#2306;&#2360;&#2381;&#2335;&#2368;&#2335;&#2381;&#2351;&#2370;&#2335; &#2346;&#2381;&#2352;&#2366;&#2311;&#2357;&#2375;&#2335; &#2354;&#2367;&#2350;&#2367;&#2335;&#2375;&#2337;  Grewal Eye Institute Private Limited,,,"&#2319;&#2360;&#2360;&#2368;&#2323; 168-169, &#2360;&#2375;&#2325;&#2381;&#2335;&#2352; - 9&#2360;&#2368;, &#2350;&#2343;&#2381;&#2351; &#2350;&#2366;&#2352;&#2381;&#2327;, &#2330;&#2306;&#2337;&#2368;&#2327;&#2338;&#2364;-160009
  SCO 168-169, Sector - 9C, Madhya Marg, Chandigarh-160009",2022-11-07 00:00:00.000,2025-11-06 00:00:00.000,HospRateList/Grewal-Eye-Institute-SOC-2022.pdf,31,D,&#2310;&#2351;&#2325;&#2352; &#2331;&#2370;&#2335; &#2346;&#2381;&#2352;&#2350;&#2366;&#2339; &#2346;&#2340;&#2381;&#2352; 15.09.2023 &#2340;&#2325; &#2357;&#2376;&#2343; &#2361;&#2376;&#2404;  Income tax exemption certificate is valid till 15.09.2023.,HospRateList/Room_ent/OO-Grewal-Eye-Institute.pdf,NULL,HospRateList/Hosp_Facility/Grewal-Eye-Institute-Contact.pdf,NULL,NULL
0645,&#2309;&#2325;&#2381;&#2325;&#2379;&#2352;&#2381;&#2337; &#2360;&#2369;&#2346;&#2352;&#2360;&#2381;&#2346;&#2375;&#2358;&#2354;&#2335;&#2368; &#2361;&#2377;&#2360;&#2381;&#2346;&#2367;&#2335;&#2354; (&#2319; &#2351;&#2370;&#2344;&#2367;&#2335; &#2321;&#2347;&#2364; &#2319;&#2360;&#2360;&#2368;&#2319;&#2354; &#2361;&#2375;&#2354;&#2381;&#2341; &#2325;&#2375;&#2351;&#2352; &#2346;&#2381;&#2352;&#2366;&#2311;&#2357;&#2375;&#2335; &#2354;&#2367;&#2350;&#2367;&#2335;&#2375;&#2337;)  Accord Superspecialty Hospital (A Unit of SCL Health Care Pvt Ltd),,,"&#2360;&#2375;&#2325;&#2381;&#2335;&#2352;-86, &#2327;&#2381;&#2352;&#2375;&#2335;&#2352; &#2347;&#2352;&#2368;&#2342;&#2348;&#2366;&#2342; 121002
Sector-86, Greater Faridabad 121002",2022-09-12 00:00:00.000,2025-09-11 00:00:00.000,HospRateList/SOC-2022-23-Accord-Hospital.pdf,2,D,&#2310;&#2351;&#2325;&#2352; &#2331;&#2370;&#2335; &#2346;&#2381;&#2352;&#2350;&#2366;&#2339; &#2346;&#2340;&#2381;&#2352; 30/06/2025 &#2340;&#2325; &#2357;&#2376;&#2343; &#2361;&#2376; / Income Tax exemption certificate is valid till 30/06/2025.,HospRateList/Room_ent/OO-Accord-Hospital-Faridabad-2022.pdf,NULL,HospRateList/Hosp_Facility/Contact-Details-Accord-Hospital-Faridabad.pdf,NULL,NULL
0643,&#2344;&#2367;&#2351;&#2379;&#2335;&#2367;&#2351;&#2366; &#2327;&#2375;&#2335;&#2357;&#2375;&#2354; &#2361;&#2375;&#2354;&#2381;&#2341;&#2325;&#2375;&#2351;&#2352; &#2360;&#2375;&#2306;&#2335;&#2352; Neotia Getwell Healthcare Center,,,"&#2313;&#2340;&#2381;&#2340;&#2352;&#2366;&#2351;&#2339; &#2335;&#2366;&#2313;&#2344;&#2358;&#2367;&#2346;, &#2350;&#2366;&#2335;&#2368;&#2327;&#2366;&#2337;&#2364;&#2366;, &#2360;&#2367;&#2354;&#2368;&#2327;&#2369;&#2337;&#2364;&#2368;, &#2346;&#2358;&#2381;&#2330;&#2367;&#2350; &#2348;&#2306;&#2327;&#2366;&#2354;, &#2346;&#2367;&#2344;-734010  
Uttorayan Township, Matigara, Siliguri, West Bengal, PIN-734010",2022-09-07 00:00:00.000,2025-09-06 00:00:00.000,HospRateList/NGHC-SoC-2022.pdf,5,D,&#2310;&#2351;&#2325;&#2352; &#2331;&#2370;&#2335; &#2346;&#2381;&#2352;&#2350;&#2366;&#2339; &#2346;&#2340;&#2381;&#2352; 31.10.2024 &#2340;&#2325; &#2357;&#2376;&#2343; &#2361;&#2376; l  Income Tax Exemption Certificate is valid upto 31.10.2024.,HospRateList/Room_ent/NGHC-OO-2022.pdf,2022-12-31 00:00:00.000,HospRateList/Hosp_Facility/NGHC-Facilitations-2022.pdf,NULL,NULL
